year,team,player
1965,CIN,ELLIS101
1965,CIN,HARPT101
1965,CIN,HELMT101
1965,CIN,HENRB101
1965,CIN,JAMEC102
1965,CIN,JAY-J101
1965,CIN,JOHND103
1965,CIN,KEOUM101
1965,CIN,LOCKB101
1965,CIN,MALOJ102
1965,CIN,MAY-L101
1965,CIN,MCCOB105
1965,CIN,NUXHJ101
1965,CIN,OSTED101
1965,CIN,OTOOJ101
1965,CIN,PAVLD101
1965,CIN,PERET001
1965,CIN,PINSV101
1965,CIN,QUEEM102
1965,CIN,ROBIF103
1965,CIN,ROSEP001
1965,CIN,RUIZC102
1965,CIN,SHAMA101
1965,CIN,TSITJ101
1965,CIN,ZANND101
1965,CLE,ALVIM101
1965,CLE,AZCUJ101
1965,CLE,BANKG101
1965,CLE,BARKR102
1965,CLE,BELLG102
1965,CLE,BROWL104
1965,CLE,CARRC104
1965,CLE,CLINL101
1965,CLE,COLAR101
1965,CLE,DAVAV101
1965,CLE,DAVIB106
1965,CLE,DONOD101
1965,CLE,GAGLR101
1965,CLE,GONZP101
1965,CLE,HARGS101
1965,CLE,HEDLM101
1965,CLE,HINTC101
1965,CLE,HOWSD101
1965,CLE,KELLT102
1965,CLE,KRALJ101
1965,CLE,LUPLA101
1965,CLE,MARTT101
1965,CLE,MCDOS101
1965,CLE,MCMAD102
1965,CLE,MORAB101
1965,CLE,ROOFP101
1965,CLE,SALMC101
1965,CLE,SCHER101
1965,CLE,SIEBS101
1965,CLE,SIMSD101
1965,CLE,SPRIJ102
1965,CLE,STANL101
1965,CLE,TERRR101
1965,CLE,TIANL101
1965,CLE,TIEFB101
1965,CLE,WAGNL101
1965,CLE,WEAVF101
1965,CLE,WHITF103
1965,CLE,WILLS102
1965,DET,AGUIH101
1965,DET,BROWG101
1965,DET,CASHN101
1965,DET,DEMED101
1965,DET,FOX-T101
1965,DET,FREEB103
1965,DET,GLADF102
1965,DET,HAMIJ101
1965,DET,HILLJ101
1965,DET,HOLTV101
1965,DET,HORTW101
